,team_id,team_name,country_name,match_count,goal_scored_total,goal_conceded_total,goal_scored_avg,goal_conceded_avg,dribbling,dribbling_class,passing,passing_class,speed,speed_class,assiting,assisting_class,crossing,crossing_class,shooting,shooting_class,defence,defence_class
59,9826,Crystal Palace,England,57,66.0,72.0,1.1578947368421053,1.263157894736842,45,Normal,67,Long,61,Balanced,67,Risky,69,Lots,50,Normal,36,Medium
60,9850,Norwich City,England,38,39.0,67.0,1.0263157894736843,1.763157894736842,38,Normal,55,Mixed,45,Balanced,46,Normal,54,Normal,47,Normal,38,Medium
61,9857,Bologna,Italy,38,33.0,45.0,0.868421052631579,1.1842105263157894,53,Normal,48,Mixed,63,Balanced,32,Safe,48,Normal,52,Normal,30,Deep
62,9864,Málaga CF,Spain,60,60.0,68.0,1.0,1.1333333333333333,51,Normal,36,Mixed,42,Balanced,41,Normal,40,Normal,50,Normal,47,Medium
63,9865,UD Almería,Spain,22,22.0,40.0,1.0,1.8181818181818181,41,Normal,65,Mixed,46,Balanced,57,Normal,54,Normal,40,Normal,37,Medium
64,9869,Real Sporting de Gijón,Spain,38,40.0,62.0,1.0526315789473684,1.631578947368421,48,Normal,50,Mixed,55,Balanced,62,Normal,59,Normal,38,Normal,45,Medium
65,9875,Napoli,Italy,59,120.0,62.0,2.0338983050847457,1.0508474576271187,70,Lots,37,Mixed,53,Balanced,68,Risky,54,Normal,67,Lots,47,Medium
66,9876,Hellas Verona,Italy,60,65.0,101.0,1.0833333333333333,1.6833333333333333,29,Little,38,Mixed,57,Balanced,39,Normal,54,Normal,55,Normal,47,Medium
67,9880,Cesena,Italy,22,23.0,43.0,1.0454545454545454,1.9545454545454546,31,Little,41,Mixed,66,Balanced,53,Normal,44,Normal,66,Normal,39,Medium
68,9882,Sampdoria,Italy,60,74.0,89.0,1.2333333333333334,1.4833333333333334,56,Normal,38,Mixed,36,Balanced,49,Normal,52,Normal,29,Little,50,Medium
69,9885,Juventus,Italy,60,113.0,37.0,1.8833333333333333,0.6166666666666667,35,Normal,20,Short,50,Balanced,65,Normal,50,Normal,80,Lots,35,Medium
70,9891,Frosinone,Italy,38,35.0,76.0,0.9210526315789473,2.0,48,Normal,46,Mixed,63,Balanced,51,Normal,50,Normal,50,Normal,55,Medium
71,9904,Hannover 96,Germany,51,50.0,92.0,0.9803921568627451,1.803921568627451,55,Normal,41,Mixed,48,Balanced,38,Normal,51,Normal,40,Normal,35,Medium
72,9905,1. FSV Mainz 05,Germany,51,72.0,66.0,1.411764705882353,1.2941176470588236,43,Normal,53,Mixed,60,Balanced,49,Normal,40,Normal,44,Normal,55,Medium
73,9906,Atlético Madrid,Spain,60,99.0,33.0,1.65,0.55,50,Normal,50,Mixed,57,Balanced,61,Normal,62,Normal,49,Normal,49,Medium
74,9910,RC Celta de Vigo,Spain,60,81.0,85.0,1.35,1.4166666666666667,59,Normal,38,Mixed,55,Balanced,41,Normal,48,Normal,50,Normal,55,Medium
75,10003,Swansea City,England,57,64.0,78.0,1.1228070175438596,1.368421052631579,44,Normal,42,Mixed,45,Balanced,34,Normal,36,Normal,55,Normal,31,Deep
76,10167,Parma,Italy,22,17.0,39.0,0.7727272727272727,1.7727272727272727,66,Normal,33,Short,48,Balanced,69,Risky,62,Normal,45,Normal,43,Medium
77,10172,Queens Park Rangers,England,19,21.0,39.0,1.105263157894737,2.0526315789473686,39,Normal,61,Mixed,30,Slow,53,Normal,53,Normal,60,Normal,50,Medium
